"","Expt","SiO2","Al2O3","Na2O","K2O","CaO","FeO","MgO","TiO2","M","FM","A_CNK","A_NK","A_C"
"1","SpD_1",67.91,11.09,2.26,3.97,2.28,1.21,0.13,11.03,1.65297359510998,1.93108853934518,0.911957823239133,1.38361103975173,2.67525984737542
"2","SpD_10",76,12.89,2.33,4.22,2.07,0.02,0.07,2.4,1.30677302905387,1.32884517267821,1.05963132021196,1.53433584851319,3.42493113901133
"3","SpD_11",75.39,12.66,2.31,4.43,2.45,0.01,0.07,2.65,1.43800367667174,1.45908082375116,0.97012079707255,1.47287342208231,2.8420838940219
"4","SpD_12",73.85,12.05,3.71,4.42,1.92,0.99,0.08,3.74,1.72403934726266,1.91676480924885,0.838050982851459,1.10674902126722,3.45187523701873
"5","SpD_13",74.81,12.41,3.54,4.65,1.77,0.02,0.08,3.25,1.61778904905413,1.64431297601363,0.881694060913913,1.14303672372942,3.8562731391093
"6","SpD_15",69.92,11.69,4.96,3.89,4.18,0.01,0.07,5.25,2.6097979159331,2.63479459238476,0.585369620454151,0.944997480403936,1.53818120907379
"7","SpD_16",76.37,13.08,2.27,4.26,2.41,0.02,0.08,1.4,1.34282471642938,1.36717198955479,1.02770613037934,1.56728882111859,2.98510748617942
"8","SpD_17",76.2,13.27,4.56,3.96,0.98,0.01,0.07,0.9,1.44362229890976,1.46397095211562,0.977897399031791,1.12570774195999,7.44756186288915
"9","SpD_18",77.67,13.59,2.51,4.69,0.72,0.02,0.07,0.55,1.05438068655879,1.07498375171871,1.29244291055383,1.47622717858934,10.3814073518306
"10","SpD_2",71.08,10.85,1.91,3.45,4.82,0.09,0.1,7.67,2.09142592429099,2.1423340353631,0.693729458959251,1.57781480345536,1.23808930523879
"11","SpD_21",76.33,12.83,3.33,4.8,1.14,0.02,0.07,1.48,1.38602089219208,1.40836260932359,1.00653978728287,1.20199245961665,6.19000610312474
"12","SpD_3",62.32,9.31,2.63,3.11,9.39,0.03,0.1,13.52,4.38632141219608,4.43866785733614,0.375926239825525,1.21018666835455,0.545322429500415
"13","SpD_4",74.44,12.56,2.79,4.42,2.83,0.02,0.06,2.83,1.63926958139836,1.6596107430668,0.865035326556549,1.33983885158209,2.44102639812777
"14","SpD_7",76.1,12.79,3.44,4.55,1.05,0.74,0.07,1.31,1.36678298130149,1.50104591491357,1.02374452763583,1.20839478536743,6.69962535628702
"15","SpG_10",72.8,13.09,2.65,5.29,2.76,0.02,0.33,3.03,1.67780841612695,1.77369811256095,0.866669721380271,1.29787884467723,2.60855403081798
"16","SpG_11",74.56,13.65,2.69,6.98,1.15,0.04,0.34,0.54,1.47868552073438,1.57503411645839,0.970030583089025,1.13931874360396,6.52835982044286
"17","SpG_12",71.82,14.7,3.71,5.03,2.55,0.03,0.67,1.29,1.64765587425282,1.82454540038289,0.908285618007916,1.27294295121508,3.17063629288477
"18","SpG_15",73.44,15.44,3.1,4.46,2.15,0.51,0.25,0.32,1.30177606010419,1.42937150320619,1.11588353931186,1.55526984129596,3.94982730971236
"19","SpG_16",70.45,17.35,4.13,3.64,2.64,0.72,0.38,0.33,1.36996708795558,1.54485673420534,1.11688386129176,1.61630431265022,3.61463812069558
"20","SpG_17",68.66,15.8,2.93,5.55,3.68,0.05,1.01,2.04,1.72900032070277,1.98817715450498,0.901900672936107,1.45921343886218,2.3614488361492
"21","SpG_18",65.53,16.95,3.67,4.37,5.24,0.05,1.43,2.36,1.96896159042172,2.32681329796273,0.835183307282358,1.57413514373058,1.77913001985267
"22","SpG_19",67.47,15.2,2.82,5.44,4.6,0.03,0.96,3.19,1.9632033054563,2.22000942996905,0.804606133497149,1.4438072600249,1.8174188511123
"23","SpG_20",64.22,16.45,3.55,4.26,6.05,0.03,1.39,3.64,2.17761164244649,2.53889879036587,0.766857947355101,1.57396138193929,1.49547721252357
"24","SpG_23",72.47,14.8,2.47,5.01,2.72,0.02,0.69,1.67,1.43045124414007,1.60627856132474,1.02550865834559,1.56011453971435,2.9926924193045
"25","SpG_29",66.21,15.81,3.14,5.29,3.61,3.19,0.82,1.66,1.77902697184074,2.45184575328693,0.905741167897122,1.45155324013944,2.40876227157736
"26","SpG_30",65.52,16.62,3.66,4.81,3.78,3.31,0.51,1.32,1.77707622717997,2.36493399035512,0.918218294645695,1.48027441752547,2.41829062248046
"27","SpG_32",69.56,16,2.9,5.95,2.75,0.69,0.88,1.02,1.56195339723825,1.87079404737365,0.986965536046523,1.42712118484769,3.2000485033939
"28","SpG_33",68.29,15.62,2.98,5.53,4.06,0.04,1,2.21,1.83384877507872,2.09347143749081,0.854950538066111,1.43455993828595,2.1160419252353
"29","SpG_34",65.51,16.78,3.57,4.44,5.34,0.06,1.41,2.49,1.99601679937908,2.35356552829401,0.823032173474055,1.57129631403631,1.72830334959166
"30","SpG_7",73.94,13.49,2.5,6.99,1.28,0.62,0.29,0.8,1.49587748230045,1.66820028446297,0.963135340713036,1.15505461161464,5.79657223411402
"31","SpG_8",71.32,14.36,2.73,6,2.34,1.29,0.62,1.13,1.58558948626506,1.93923575368345,0.942237427284298,1.30713729104567,3.37526483437567
