"","Expt","Type","TiO2","InvTK","M"
"1","SpG_17","Crystallization",2.04,0.000852405915697055,1.73282857461656
"2","SpG_29","Crystallization",1.66,0.000785453402976868,1.78283887991824
"3","SpG_33","Crystallization",2.21,0.000785453402976868,1.83776406614915
"4","SpG_18","Crystallization",2.36,0.000852405915697055,1.97514951150776
"5","SpG_20","Crystallization",3.64,0.000785453402976868,2.18466018546167
"6","SpG_34","Crystallization",2.49,0.000785453402976868,2.00229799512526
"7","SpG_32","Crystallization",1.02,0.000852405915697055,1.56503649534842
"8","SpG_11","Crystallization",0.54,0.000931836183198994,1.47927101827138
"9","SpG_23","Crystallization",1.67,0.000852405915697055,1.43216012253293
"10","SpG_7","Crystallization",0.8,0.000852405915697055,1.4969478703015
"11","SpG_12","Crystallization",1.29,0.000931836183198994,1.65025178880458
"12","SpG_8","Crystallization",1.13,0.000852405915697055,1.58823563475648
"13","SpG_10","Crystallization",3.03,0.000785453402976868,1.67821109051208
"14","SpDis_18","Dissolution",0.55,0.000834620039227142,1.18085215480808
"15","SpDis_21","Dissolution",1.46,0.000785453402976868,1.38604556793265
"16","SpDis_17","Dissolution",0.91,0.000785453402976868,1.10983836971921
"17","SpDis_7","Dissolution",1.31,0.00072825255798711,1.36920052969352
"18","SpDis_10","Dissolution",2.4,0.00072825255798711,1.3157578709264
"19","SpDis_11","Dissolution",2.67,0.00072825255798711,1.44189175139747
"20","SpDis_12","Dissolution",3.72,0.000678817499915148,1.75322977265881
"21","SpDis_13","Dissolution",3.23,0.000678817499915148,1.6242034797835
"22","SpDis_15","Dissolution",4.47,0.000678817499915148,1.97762309016282
"23","SpDis_3","Dissolution",13.42,0.000635667291739503,4.29282570652838
"24","SpG_15","Crystallization",0.68,0.000931836183198994,1.44228813110179
"25","SpG_16","Crystallization",0.56,0.000931836183198994,1.45705498761614
"26","SpG_19","Crystallization",3.19,0.000785453402976868,1.96772595863555
"27","SpG_28","Crystallization",4.35,0.000852405915697055,2.31269361573715
"28","SpG_30","Crystallization",1.32,0.000785453402976868,1.78369046758635
"29","SpDis_16","Dissolution",1.15,0.000785453402976868,1.56158544030826
