"","Expt","Type","TiO2","TK","M"
"1","SpDis_10","Dissolution",2.4,1373.15,1.30708850817964
"2","SpDis_11","Dissolution",2.65,1373.15,1.43846686337877
"3","SpDis_12","Dissolution",3.74,1473.15,1.72486042422226
"4","SpDis_13","Dissolution",3.25,1473.15,1.61817422702182
"5","SpDis_16","Dissolution",1.4,1273.15,1.34347217661455
"6","SpDis_17","Dissolution",0.81,1273.15,1.44639524035344
"7","SpDis_18","Dissolution",0.55,1198.15,1.05471819502457
"8","SpDis_2","Dissolution",7.88,1573.15,2.09346889901592
"9","SpDis_21","Dissolution",1.48,1273.15,1.38624132982288
"10","SpDis_3","Dissolution",13.52,1573.15,4.38740586067045
"11","SpDis_7","Dissolution",1.31,1373.15,1.36721781119714
"12","SpG_10","Crystallization",3.03,1273.15,1.67821109051208
"13","SpG_11","Crystallization",0.54,1073.15,1.47927101827138
"14","SpG_12","Crystallization",1.29,1073.15,1.65025178880458
"15","SpG_15","Crystallization",0.32,1073.15,1.30508193478064
"16","SpG_16","Crystallization",0.33,1073.15,1.37384071539964
"17","SpG_17","Crystallization",2.04,1173.15,1.73282857461656
"18","SpG_18","Crystallization",2.36,1173.15,1.97514951150776
"19","SpG_19","Crystallization",3.19,1273.15,1.96772595863555
"20","SpG_20","Crystallization",3.64,1273.15,2.18466018546167
"21","SpG_23","Crystallization",1.67,1173.15,1.43216012253293
"22","SpG_28","Crystallization",4.35,1173.15,2.31269361573715
"23","SpG_29","Crystallization",1.66,1273.15,1.78283887991824
"24","SpG_30","Crystallization",1.32,1273.15,1.78369046758635
"25","SpG_32","Crystallization",1.02,1173.15,1.56503649534842
"26","SpG_33","Crystallization",2.21,1273.15,1.83776406614915
"27","SpG_34","Crystallization",2.49,1273.15,2.00229799512526
"28","SpG_7","Crystallization",0.8,1173.15,1.4969478703015
"29","SpG_8","Crystallization",1.13,1173.15,1.58823563475648
