x,SiO2,CaO,TiO2
1,76.58,0.75,0.31
2,76.67,0.74,0.31
3,76.72,0.76,0.37
4,76.74,0.74,0.35
5,76.77,0.72,0.36
6,76.8,0.71,0.31
7,76.79,0.73,0.28
8,76.81,0.69,0.29
9,76.99,0.68,0.24
10,76.88,0.68,0.24
11,76.96,0.68,0.26
12,76.95,0.64,0.27
13,77.07,0.66,0.25
14,76.86,0.72,0.18
15,76.97,0.69,0.26
16,76.83,0.68,0.33
17,77.01,0.67,0.21
18,76.9,0.71,0.22
19,76.88,0.71,0.27
20,77.04,0.66,0.2
21,76.92,0.65,0.23
22,76.86,0.67,0.28
23,76.84,0.68,0.27
24,76.94,0.69,0.22
25,76.86,0.64,0.25
26,77,0.65,0.19
27,76.84,0.67,0.24
28,76.83,0.66,0.26
29,76.86,0.67,0.24
30,76.9,0.63,0.22
31,77.08,0.64,0.22
32,76.96,0.7,0.19
33,77,0.67,0.22
34,76.82,0.7,0.26
35,77.03,0.64,0.19
36,77.06,0.62,0.21
37,76.81,0.66,0.23
38,76.93,0.67,0.22
39,76.79,0.64,0.21
