Expt,SM,TC,Pkb,Titanite,Rutile,SiO2,TiO2,Al2O3,Fe2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,H2O,deltaQFM,logfO2
SpG_17,GSP,900,5,Y,N,67.79,1.271,13.513,4.00E-04,3.10E-03,0.47,0.24,3.57,2.77,5.92,0.32,4.56,-1.55,-13.63
SpG_29,GSP,1000,5,Y,N,68.417,3.402,12.07,0.154,1.227,4.44E-02,0.124,5.397,1.166,7.091,0.909,0,-1.72,-12.2
SpG_33,GSP,1000,10,N,Y,63.19,4.39,14.14,0.003,0.047,0.04,0.91,5.75,2.64,5.11,0.27,3.51,-1.49,-11.54
SpG_15,GSP,800,5,Y,Y,70.522,0.593,11.757,5.90E-03,3.16E-02,5.68E-02,0.126,2.317,2.007,6.967,0.383,5.234,-1.36,-15.33
SpG_19,GSP,1000,5,N,Y,64.428,2.927,14.412,3.20E-03,2.61E-02,6.06E-02,0.566,5.314,2.485,5.769,0.152,3.856,-1.72,-12.2
SpG_18,GSP + AGV,900,5,Y,N,67.296,1.124,12.97,2.00E-04,1.40E-03,8.26E-02,0.263,3.89,3.485,5.296,0.496,5.095,-1.55,-13.63
SpG_20,GSP + AGV,1000,5,N,Y,63.669,2.521,14.831,8.00E-04,6.40E-03,6.71E-02,0.553,5.768,3.643,4.361,0.403,4.177,-1.72,-12.2
SpG_34,GSP + AGV,1000,10,N,Y,64.621,2.34,14.5,3.00E-04,2.50E-03,6.94E-02,0.215,5.032,3.721,4.509,0.416,4.573,-1.49,-11.54
SpG_16,GSP + AGV,800,5,Y,Y,69.861,0.498,10.961,1.39E-02,7.24E-02,0.1,0.108,2.715,2.737,6.215,0.601,6.118,-1.36,-15.33
SpG_28,GSP + AGV,900,5,Y,N,64.738,0.948,13.869,1.00E-04,9.00E-04,7.09E-02,0.177,4.533,3.744,4.603,0.425,6.891,-1.55,-13.63
SpG_32,GSP(1),900,5,N,Y,70.04,1.456,13.269,2.88E-02,0.205,3.98E-02,0.492,2.469,2.254,6.379,0.341,3.027,-1.55,-13.63
SpG_11,PST,800,5,Y,N,72.04,0.578,11.387,7.60E-03,4.05E-02,6.93E-02,0.171,1.915,1.993,7.181,2.31E-02,4.65,-1.36,-15.33
SpG_23,PST,900,5,Y,N,73.261,1.413,11.378,6.50E-03,4.37E-02,7.24E-02,0.266,2.733,1.973,6.961,2.42E-02,1.866,-1.55,-13.63
SpG_7,PST,900,5,Y,N,69.737,1.316,12.087,4.66E-02,0.321,5.59E-02,0.189,3.059,2.365,6.492,2.05E-02,4.308,-1.55,-13.63
SpG_12,PST + GSP,800,5,Y,Y,70.951,0.606,11.772,3.00E-04,1.70E-03,7.61E-02,0.199,2.05,2,7.073,0.19,5.078,-1.36,-15.33
SpG_8,PST + GSP,900,5,Y,Y,68.726,1.33,13.234,8.00E-04,5.20E-03,6.47E-02,0.283,3.229,2.645,6.16,0.162,4.16,-1.55,-13.63
SpG_10,PST + GSP,1000,5,N,Y,66.091,2.769,12.899,3.40E-03,2.77E-02,5.99E-02,0.559,5.247,2.454,5.696,0.15,4.043,-1.72,-12.2
