x,TiO2,InvTiO2
28.55,2.53,0.295168038
31.7,2.5,0.302940669
34.85,2.4,0.329122498
38,2.28,0.361151771
41.15,2.27,0.363853704
44.3,2.15,0.396710011
47.45,2.07,0.4190955
50.6,2,0.439032671
53.75,1.84,0.485986647
56.9,1.81,0.495027666
60.05,1.68,0.535189131
63.2,1.67,0.538349474
66.35,1.6,0.560781912
69.5,1.47,0.604021216
72.65,1.43,0.617785265
75.8,1.29,0.667930256
78.95,1.24,0.686671671
82.1,1.16,0.71770526
85.25,1.11,0.737823682
88.4,1,0.784333633
91.55,0.99,0.788731819
94.7,0.83,0.863743606
97.85,0.76,0.899831522
101,0.73,0.916039504
104.15,0.69,0.938428876
107.3,0.68,0.944175465
110.45,0.58,1.005434235
113.6,0.53,1.039115426
116.75,0.5,1.060512071
119.9,0.44,1.106484871
123.05,0.44,1.106484871
126.2,0.44,1.106484871
129.35,0.36,1.176169446
132.5,0.27,1.271359826
135.65,0.28,1.259608296
138.8,0.26,1.283473372
141.95,0.24,1.308896894
145.1,0.28,1.259608296
148.25,0.23,1.322270494
151.4,0.24,1.308896894
154.55,0.2,1.365512326
157.7,0.21,1.350532073
160.85,0.16,1.432534944
