,Expt,Oxide,Slope,c0
0,3,SiO2,-0.0004218564606500801,62.72555434175402
1,3,Al2O3,-0.0007273957549366573,9.399680957779967
2,3,Na2O,-0.00030227828156254765,2.626095084921186
3,3,K2O,-0.0009671794697161024,3.1585894186099015
4,3,CaO,0.0015297394308080128,9.283206887793872
5,3,TiO2,0.002240589338329984,13.449863986077665
6,7,SiO2,-2.7902542038395218e-05,76.10484650333972
7,7,Al2O3,-0.00012147599594296137,12.927372567877557
8,7,Na2O,-0.0002080520885829253,3.4679146745742213
9,7,K2O,-0.00013423406472394222,4.600069673391594
10,7,CaO,0.0007537857151228985,1.0327217851831199
11,7,TiO2,0.006343137508097012,1.2681147356351998
12,10,SiO2,-2.1794581984423807e-05,76.03188552275036
13,10,Al2O3,-3.152284123958448e-05,12.888858334342265
14,10,Na2O,-0.00010454866183296344,2.3268483671193927
15,10,K2O,-5.000771528940062e-05,4.229461548748582
16,10,CaO,0.000194994080078166,2.0625083307387797
17,10,TiO2,0.001031272390053556,2.401156397612317
18,11,SiO2,-1.1078618849613835e-05,75.38631778338767
19,11,Al2O3,-2.4421565197549164e-06,12.647267297440044
20,11,Na2O,4.785111282129684e-05,2.30698521952053
21,11,K2O,-9.60947002163681e-07,4.426274112737935
22,11,CaO,5.931555278422891e-05,2.452204028763449
23,11,TiO2,0.0002414537928160564,2.6744481668222226
24,13,SiO2,-7.667449547253074e-05,74.73843278209795
25,13,Al2O3,-0.00020357382041578628,12.392916093537794
26,13,Na2O,-0.0001519159784491,3.55542910283514
27,13,K2O,-0.0001295200766906523,4.64294799471714
28,13,CaO,0.0007147551325336276,1.7838901454203595
29,13,TiO2,0.004171840140595108,3.2241102718388825
30,15,SiO2,-4.4366836028841704e-05,72.26594182426133
31,15,Al2O3,-7.691364406443364e-05,11.829727756513122
32,15,Na2O,-0.00019980882137267045,2.7125086748166414
33,15,K2O,-9.490996365337592e-05,4.219365358780384
34,15,CaO,0.0003083721599398265,4.009133486137232
35,15,TiO2,0.0007955833557218378,4.841282794649781
36,17,SiO2,-1.569115815129295e-07,77.87031069033524
37,17,Al2O3,-3.5822143821412255e-05,13.122888910318636
38,17,Na2O,-0.00023835665311521198,2.4135700629378376
39,17,K2O,-6.076954848853088e-05,4.565443053293231
40,17,CaO,0.00016130520076439173,0.9908495532534761
41,17,TiO2,0.0014224420116087794,0.9139303240854114
42,18,SiO2,-9.504425188488189e-06,77.61483503516357
43,18,Al2O3,-4.250635456459423e-06,13.255585877617909
44,18,Na2O,-0.00025146681098928646,2.8901400792146377
45,18,K2O,-5.08201462284832e-05,4.787288868896503
46,18,CaO,0.00048632129951906516,0.7640981535231148
47,18,TiO2,0.0027970233063698566,0.542530741999114
48,21,SiO2,-1.5705594716374772e-05,76.42429252384976
49,21,Al2O3,-6.687110129085811e-05,12.841690997667863
50,21,Na2O,-0.00022545515334181256,3.325777212030042
51,21,K2O,-5.494095256789234e-05,4.803109467093862
52,21,CaO,0.0002709322571061357,1.1214452966545265
53,21,TiO2,0.002651128227047169,1.501908338470847
